Year-Month,average-temperature,quality,no,seq,YM
2016/4,15.7,8,1,1599,2016-04-01
2016/5,20.6,8,1,1600,2016-05-01
2016/6,23.1,8,1,1601,2016-06-01
2016/7,27.0,8,1,1602,2016-07-01
2016/8,28.9,8,1,1603,2016-08-01
2016/9,25.3,8,1,1604,2016-09-01
2016/10,19.5,8,1,1605,2016-10-01
2016/11,12.6,8,1,1606,2016-11-01
2016/12,8.0,8,1,1607,2016-12-01
2017/1,4.5,8,1,1608,2017-01-01
2017/2,5.0,8,1,1609,2017-02-01
2017/3,8.3,8,1,1610,2017-03-01
2017/4,14.7,8,1,1611,2017-04-01
2017/5,20.6,8,1,1612,2017-05-01
2017/6,22.4,8,1,1613,2017-06-01
2017/7,28.1,8,1,1614,2017-07-01
2017/8,28.1,8,1,1615,2017-08-01
2017/9,23.6,8,1,1616,2017-09-01
2017/10,18.1,8,1,1617,2017-10-01
2017/11,11.4,8,1,1618,2017-11-01
2017/12,5.6,8,1,1619,2017-12-01
2018/1,3.6,8,1,1620,2018-01-01
2018/2,4.4,8,1,1621,2018-02-01
2018/3,11.1,8,1,1622,2018-03-01
2018/4,16.4,8,1,1623,2018-04-01
2018/5,19.9,8,1,1624,2018-05-01
2018/6,23.5,8,1,1625,2018-06-01
2018/7,29.6,8,1,1626,2018-07-01
2018/8,29.8,8,1,1627,2018-08-01
2018/9,23.6,8,1,1628,2018-09-01
2018/10,18.9,8,1,1629,2018-10-01
2018/11,13.9,8,1,1630,2018-11-01
2018/12,7.9,8,1,1631,2018-12-01
2019/1,4.9,8,1,1632,2019-01-01
2019/2,7.2,8,1,1633,2019-02-01
2019/3,9.9,8,1,1634,2019-03-01
2019/4,13.9,8,1,1635,2019-04-01
2019/5,20.5,8,1,1636,2019-05-01
2019/6,23.3,8,1,1637,2019-06-01
2019/7,26.2,8,1,1638,2019-07-01
2019/8,29.2,8,1,1639,2019-08-01
2019/9,26.7,8,1,1640,2019-09-01
2019/10,20.3,8,1,1641,2019-10-01
2019/11,13.4,8,1,1642,2019-11-01
2019/12,8.6,8,1,1643,2019-12-01
2020/1,7.6,8,1,1644,2020-01-01
2020/2,7.0,8,1,1645,2020-02-01
2020/3,10.5,8,1,1646,2020-03-01
2020/4,13.1,8,1,1647,2020-04-01
2020/5,20.4,8,1,1648,2020-05-01
2020/6,24.6,8,1,1649,2020-06-01
2020/7,25.4,8,1,1650,2020-07-01
2020/8,30.3,8,1,1651,2020-08-01
2020/9,25.4,8,1,1652,2020-09-01
2020/10,18.0,8,1,1653,2020-10-01
2020/11,13.9,8,1,1654,2020-11-01
2020/12,7.2,8,1,1655,2020-12-01
2021/1,4.6,8,1,1656,2021-01-01
2021/2,7.3,8,1,1657,2021-02-01
2021/3,11.8,8,1,1658,2021-03-01
2021/4,15.0,8,1,1659,2021-04-01
2021/5,19.3,8,1,1660,2021-05-01
2021/6,23.8,8,1,1661,2021-06-01
2021/7,27.7,8,1,1662,2021-07-01
2021/8,27.8,8,1,1663,2021-08-01
2021/9,24.2,8,1,1664,2021-09-01
2021/10,20.1,8,1,1665,2021-10-01
2021/11,13.0,8,1,1666,2021-11-01
2021/12,7.2,8,1,1667,2021-12-01
2022/1,4.0,8,1,1668,2022-01-01
2022/2,4.0,8,1,1669,2022-02-01
2022/3,10.7,8,1,1670,2022-03-01
2022/4,16.8,8,1,1671,2022-04-01
2022/5,19.6,8,1,1672,2022-05-01
2022/6,24.4,8,1,1673,2022-06-01
2022/7,27.6,8,1,1674,2022-07-01
2022/8,28.4,8,1,1675,2022-08-01
2022/9,26.1,8,1,1676,2022-09-01
2022/10,18.4,8,1,1677,2022-10-01
2022/11,14.6,8,1,1678,2022-11-01
2022/12,6.3,8,1,1679,2022-12-01
2023/1,5.0,8,1,1680,2023-01-01
2023/2,6.4,8,1,1681,2023-02-01
2023/3,12.5,8,1,1682,2023-03-01
2023/4,15.7,8,1,1683,2023-04-01
2023/5,20.1,8,1,1684,2023-05-01
2023/6,23.8,8,1,1685,2023-06-01
2023/7,28.8,8,1,1686,2023-07-01
2023/8,29.6,8,1,1687,2023-08-01
2023/9,27.3,8,1,1688,2023-09-01
2023/10,18.2,8,1,1689,2023-10-01
